project_id,start_date,end_date,planned_duration_days,actual_duration_days,team_size,budget,actual_spent,risk_level,complexity,domain,scope_changes,satisfaction_rating,budget_overrun_percentage,success_metric,success
17,2021-03-23,2021-07-06,120,105,28,57722.49582428761,73372.69939403686,1,Medium,IT,8,3.25,27.11,72.55,1
18,2021-04-21,2023-04-28,690,737,7,393513.99035175995,431773.82554936374,4,Medium,Operations,1,4.23,9.72,79.15,1
19,2022-10-31,2023-01-21,120,82,26,413110.83967285074,497913.1557881501,5,Low,R&D,9,5.0,20.53,82.74,1
20,2023-05-17,2026-01-04,720,963,25,205836.94449023035,224507.81434531166,1,Low,R&D,1,2.74,9.07,86.42,1
21,2020-02-24,2020-08-27,150,185,6,259103.21582282512,310450.70374150825,1,Medium,Marketing,2,3.64,19.82,75.01,1
22,2023-02-23,2023-11-12,240,262,28,342398.15718924353,376937.5822523862,5,Medium,Operations,6,3.53,10.09,61.9,1
23,2021-02-11,2022-06-30,510,504,16,71626.51588866518,74087.51426418961,3,Low,IT,5,3.7,3.44,93.71,1
24,2023-08-23,2024-11-13,360,448,10,477115.5792161237,600598.6134854313,2,High,Operations,7,4.71,25.88,52.59,0
25,2023-12-07,2024-12-16,330,375,6,449006.17428412137,507515.3572332519,4,Medium,Operations,7,4.38,13.03,65.52,1
26,2023-01-21,2023-05-10,90,109,25,167402.13050377127,200524.0327065174,2,Medium,IT,5,4.59,19.79,71.2,1
27,2022-05-09,2023-10-25,540,534,5,56887.04313067313,63919.25947845217,5,Medium,HR,10,4.02,12.36,60.66,1
28,2021-03-27,2022-02-15,240,325,16,470046.33863576734,482759.43093684077,1,Medium,Operations,9,3.07,2.7,70.54,1
29,2022-07-08,2023-08-19,330,407,30,275467.9477618666,369473.6979583064,1,Low,Operations,2,3.22,34.13,71.46,1
30,2023-04-21,2023-11-05,180,198,26,292719.85178002814,337577.7751959228,4,Low,HR,2,4.52,15.32,83.35,1
31,2021-07-23,2021-12-20,120,150,16,357783.6962291635,374507.4734033865,1,Low,Operations,0,4.12,4.67,100.0,1
32,2020-01-14,2020-06-27,180,165,29,327133.0239754612,422573.894162354,1,Low,Operations,6,4.88,29.17,90.4,1
33,2020-11-22,2021-01-30,90,69,21,474751.22205234074,428166.9391428519,4,Medium,Operations,4,4.21,-9.81,100.0,1
34,2023-11-30,2025-09-30,630,670,14,474913.21870632534,681710.6405579359,4,Medium,R&D,3,3.17,43.54,43.98,0
35,2022-05-15,2023-05-06,360,356,20,440239.5200997517,472433.1516087667,5,Low,Finance,9,3.63,7.31,74.27,1
36,2021-11-27,2023-09-21,690,663,19,336381.6188507051,306039.2799649785,1,Medium,HR,3,4.4,-9.02,100.0,1
37,2021-07-23,2023-04-18,510,634,19,410427.18260707986,568807.4215470544,1,Low,Operations,3,4.5,38.59,72.39,1
38,2020-11-14,2022-11-28,720,744,23,354725.7540723418,365553.7073582061,5,High,R&D,5,4.6,3.05,66.72,1
39,2021-03-16,2023-01-08,630,663,16,308015.16875237,350055.1382124338,3,High,HR,7,3.27,13.65,57.82,0
40,2021-11-20,2023-04-09,540,505,27,107825.15895525958,130215.44259224978,3,Low,Marketing,7,3.16,20.77,76.28,1
41,2020-07-28,2022-10-17,690,811,24,415041.8795312013,530268.2462197135,3,Medium,Marketing,4,3.87,27.76,59.11,0
42,2020-07-08,2022-10-07,720,821,29,419287.7640847799,480070.3114761036,5,Low,Operations,5,5.0,14.5,75.29,1
43,2022-02-17,2022-09-16,180,211,7,331672.8515457078,332635.5946007339,1,Medium,R&D,3,3.51,0.29,90.95,1
44,2020-07-17,2020-11-03,120,109,9,419192.07969707064,474881.2773609506,5,Medium,R&D,10,4.32,13.28,64.63,1
45,2022-01-05,2023-07-26,450,567,23,343168.1473360046,355900.60124350403,5,Low,HR,8,4.32,3.71,71.22,1
46,2021-12-05,2022-04-07,90,123,11,143007.96194453543,162650.35598958138,3,Medium,HR,7,4.53,13.74,61.51,1
47,2023-05-21,2025-03-16,570,665,25,173282.5072945102,232930.23335483615,2,Low,R&D,9,5.0,34.42,67.3,1
48,2021-06-25,2022-07-08,450,378,13,146565.10386876838,177840.4523901889,1,Low,HR,9,5.0,21.34,95.83,1
49,2020-03-29,2020-08-28,180,152,11,219766.58745258913,248555.34357436377,3,Medium,R&D,0,3.58,13.1,88.66,1
50,2022-07-29,2023-04-05,270,250,22,67533.40953960514,81767.67106951286,2,Low,Finance,1,2.53,21.08,87.26,1
51,2023-01-03,2024-05-23,570,506,8,328214.2479520518,400917.67453928915,2,Medium,R&D,8,3.53,22.15,72.4,1
52,2020-09-12,2021-08-04,330,326,29,201449.39669992693,189023.77320569093,4,Medium,Marketing,7,4.05,-6.17,85.18,1
53,2022-02-14,2022-09-04,180,202,18,345075.18592133396,381742.3253629522,1,High,HR,2,3.75,10.63,77.34,1
54,2020-06-10,2022-04-07,630,666,22,223428.47943450426,331652.5761429832,2,Low,R&D,7,5.0,48.44,63.46,1
55,2023-02-04,2023-05-08,90,93,30,356726.15103775536,457295.5104247664,3,Medium,R&D,0,4.01,28.19,71.18,1
56,2021-08-23,2022-08-01,360,343,13,203281.056258908,208258.3250511114,4,Medium,HR,9,4.46,2.45,78.72,1
57,2023-07-11,2024-01-05,180,178,30,167312.5377061564,168905.1548971974,1,Low,Finance,3,4.15,0.95,100.0,1
58,2023-06-20,2024-07-06,330,382,25,273216.8544320328,274452.1064975691,5,High,Finance,2,3.76,0.45,64.12,1
59,2022-01-10,2022-10-06,450,269,6,361800.6614113727,444995.997202312,3,Medium,HR,5,2.65,22.99,78.46,1
60,2023-03-28,2024-07-19,480,479,24,206751.4720039388,277283.9382385146,2,Medium,IT,6,3.94,34.11,63.52,1
61,2021-01-28,2022-02-12,360,380,19,471491.6683350683,559813.871826315,2,Medium,HR,3,5.0,18.73,83.29,1
62,2023-12-13,2024-09-15,240,277,11,67633.84700404081,75991.65585331837,3,High,HR,6,3.13,12.36,55.59,0
63,2020-05-22,2021-07-27,540,431,16,238075.71427201043,246021.89509678714,2,High,Finance,8,2.73,3.34,77.05,1
64,2020-04-03,2020-10-09,240,189,12,485411.2481841114,557934.5874599265,4,Medium,Finance,10,5.0,14.94,76.55,1
65,2023-09-16,2025-06-13,570,636,19,296587.3474616393,289760.4233739515,1,Medium,HR,1,4.52,-2.3,100.0,1
66,2021-04-11,2021-11-20,360,223,7,240561.92403865335,194767.39376378787,4,Low,HR,10,4.13,-19.04,100.0,1
67,2021-08-15,2023-09-13,600,759,18,305834.12768748123,411507.11402302945,2,Low,HR,2,4.95,34.55,73.53,1
68,2020-06-12,2022-07-04,720,752,21,309166.0588661381,293438.19386473,5,Medium,Finance,4,3.42,-5.09,78.38,1
69,2021-04-21,2023-06-17,600,787,8,379241.4898848381,398687.15187034477,1,Low,HR,2,3.93,5.13,95.06,1
70,2020-07-25,2020-11-20,150,118,22,107460.37824010951,128786.2790499211,1,Medium,HR,10,4.67,19.85,86.0,1
71,2022-02-17,2023-10-13,660,603,12,162507.4021472471,213724.86502253008,3,Low,Operations,7,5.0,31.52,77.74,1
72,2021-07-23,2022-07-16,690,358,8,311244.80555475946,354373.8730973657,3,Low,IT,9,3.18,13.86,95.57,1
73,2022-07-17,2023-09-19,510,429,6,440202.4732443749,405401.54120272014,5,Medium,Marketing,7,4.9,-7.91,91.66,1
74,2023-07-25,2024-11-28,510,492,10,302840.0114646981,319435.04826925264,1,High,IT,7,4.27,5.48,82.86,1
75,2022-01-17,2022-05-07,180,110,26,157368.58690565306,157089.6021824824,5,Low,Operations,8,4.11,-0.18,99.27,1
76,2020-11-29,2021-09-29,330,304,14,355930.1509551106,389483.0975342191,3,Medium,Marketing,3,3.99,9.43,86.08,1
77,2022-01-28,2023-02-12,630,380,8,382958.9422013185,492024.7569103309,3,High,HR,4,3.03,28.48,67.24,1
78,2021-12-28,2023-06-22,570,541,26,157206.26858179073,125765.01486543259,1,Low,Operations,4,4.67,-20.0,100.0,1
79,2021-03-05,2022-06-27,390,479,22,219977.99877933267,228401.29192812336,4,High,HR,7,3.45,3.83,54.57,0
80,2023-10-04,2024-08-27,330,328,30,290447.36308875354,298403.458323727,2,Low,Finance,6,3.24,2.74,95.27,1
81,2021-06-30,2022-10-22,360,479,16,273452.535807385,249248.10288816167,3,Low,R&D,8,4.62,-8.85,89.96,1
82,2023-12-08,2025-11-01,600,694,6,225328.13879864156,267650.0836144457,3,High,Operations,7,4.55,18.78,55.97,0
83,2023-10-31,2026-02-14,660,837,14,183935.8285291899,163289.69748075883,4,Low,Finance,1,4.06,-11.22,97.03,1
84,2023-08-20,2024-09-05,450,382,8,94993.19922283852,85970.35170884879,4,Medium,Operations,9,4.76,-9.5,93.92,1
85,2020-05-26,2021-02-03,300,253,18,74068.383536316,90930.82003395207,5,High,Operations,3,5.0,22.77,63.54,1
86,2023-06-01,2024-03-15,270,288,20,481343.67359743925,637821.6212419276,5,Low,Finance,5,4.92,32.51,63.41,1
87,2023-07-24,2024-08-18,570,391,19,431214.4148430154,469413.7527950494,2,Medium,Marketing,1,3.63,8.86,100.0,1
88,2020-12-16,2023-01-10,690,755,12,209707.33570822427,192383.534786831,2,High,IT,6,4.71,-8.26,87.39,1
89,2022-12-29,2024-04-19,510,477,18,480560.39830690535,477757.23483179254,1,Low,HR,2,4.15,-0.58,100.0,1
90,2021-05-16,2023-08-29,660,835,27,354546.4569909365,443608.6305453845,5,High,Operations,2,5.0,25.12,46.3,0
91,2020-11-30,2022-07-02,510,579,29,267134.4273391891,298513.5694841078,3,Medium,HR,10,3.91,11.75,64.76,1
92,2022-08-04,2022-11-21,90,109,12,271861.54599731223,294927.4168837239,5,Medium,R&D,1,3.75,8.48,67.02,1
93,2022-02-16,2023-03-31,480,408,25,87477.98503786683,100333.52721763714,3,Medium,Finance,10,3.57,14.7,72.1,1
94,2021-07-06,2022-03-17,210,254,20,91266.86626631649,99877.98713854811,4,Low,HR,7,4.13,9.44,74.23,1
95,2023-08-03,2024-12-17,390,502,17,321098.41665550356,427657.12402855116,5,High,Finance,5,4.33,33.19,31.1,0
96,2023-11-10,2025-04-29,540,536,22,299166.3735556103,295465.23984537204,4,High,HR,0,4.34,-1.24,82.99,1
97,2023-02-14,2023-05-28,120,103,19,145727.55276090303,141414.91086971332,2,Medium,IT,0,4.24,-2.96,100.0,1
98,2021-03-25,2021-12-07,300,257,25,475787.54429676064,424631.8059248467,2,Medium,IT,6,4.47,-10.75,100.0,1
99,2023-11-03,2025-03-03,390,486,28,401583.22271204117,409214.04873633856,1,Medium,IT,7,3.84,1.9,82.35,1
100,2021-10-26,2024-05-05,600,922,30,101059.07090785161,94611.8739600485,5,Medium,IT,4,3.39,-6.38,59.58,0
101,2020-04-24,2020-08-23,150,121,29,468918.0975592817,531148.840211466,4,Medium,IT,10,3.33,13.27,68.76,1
102,2021-04-14,2021-06-24,90,71,17,488411.6938404846,538787.5039661777,3,Medium,IT,4,4.68,10.31,92.61,1
103,2020-03-06,2021-06-10,390,461,13,498169.0589136481,467351.6608501672,2,Medium,Finance,3,4.33,-6.19,94.81,1
104,2021-10-08,2023-01-10,540,459,19,75142.01960480752,89296.58975519481,2,Medium,Operations,5,2.7,18.84,76.93,1
105,2022-04-01,2024-03-23,600,722,17,381666.000555954,506669.98569993966,3,Medium,HR,5,4.77,32.75,57.0,0
106,2021-07-02,2023-02-12,540,590,5,295662.096574245,341098.1916920806,4,Low,IT,2,5.0,15.37,86.0,1
107,2020-05-15,2021-05-09,360,359,29,367624.16774541256,294099.33419633005,4,Low,Finance,8,3.5,-20.0,100.0,1
108,2021-03-08,2022-12-20,600,652,11,485893.3747883607,679312.778290002,5,Medium,Finance,10,4.24,39.81,35.86,0
109,2023-03-07,2023-11-20,240,258,13,359613.5045787676,435865.4199913605,5,Medium,Finance,6,3.67,21.2,54.38,0
110,2021-10-06,2023-06-06,630,608,28,426633.74340681825,594498.2242015826,1,Medium,Operations,0,4.44,39.35,77.12,1
111,2021-03-11,2021-07-06,180,117,5,440090.9173898786,556102.6406759853,2,Medium,HR,6,3.18,26.36,79.83,1
112,2023-09-04,2024-12-13,450,466,16,427316.3436937933,552766.7276040073,5,Medium,Operations,4,3.95,29.36,53.84,0
113,2022-10-19,2024-07-11,480,631,12,241741.1637711235,273358.4988096573,4,Medium,Marketing,4,4.69,13.08,64.39,1
114,2022-03-21,2022-07-01,150,102,28,150159.38790696373,159267.3954015307,3,Low,Finance,1,4.86,6.07,100.0,1
115,2023-08-09,2024-05-26,360,291,15,228493.22087941333,264143.2308957732,4,Medium,Marketing,3,4.3,15.6,82.18,1
116,2022-07-28,2023-04-14,240,260,23,451353.6089495495,448502.0642536737,2,Medium,R&D,5,3.76,-0.63,88.49,1
117,2020-10-19,2021-01-17,90,90,21,115972.16976141147,135117.10229207674,4,High,IT,9,2.89,16.51,47.72,0
118,2021-06-26,2022-11-27,480,519,12,280996.7759115768,224797.42072926147,1,Medium,IT,10,3.47,-20.0,100.0,1
119,2020-10-12,2021-06-28,300,259,7,154952.63259103752,171445.76551299385,2,Low,Operations,6,3.67,10.64,96.31,1
120,2021-05-20,2023-07-05,630,776,7,311587.43775205204,405593.80955760635,3,Low,HR,10,3.51,30.17,54.15,0
121,2023-02-23,2024-06-21,480,484,5,438412.3348950517,488455.4750278892,1,Low,Marketing,4,4.04,11.41,99.74,1
122,2023-01-08,2024-02-22,360,410,9,446161.9858872876,606388.7538239035,2,Medium,HR,8,3.76,35.91,52.52,0
123,2021-06-22,2023-02-18,570,606,14,156508.33715693542,165967.41805987954,3,Low,Operations,2,4.12,6.04,95.24,1
124,2023-04-12,2024-03-18,330,341,11,458462.16785684583,573260.0113183372,1,Medium,IT,0,4.84,25.04,87.84,1
125,2022-05-27,2023-02-21,240,270,30,316349.93246957794,306308.82394204265,1,Medium,HR,3,3.72,-3.17,96.62,1
126,2023-04-10,2024-05-18,390,404,13,207598.2110151411,258313.1031107356,2,Low,HR,8,3.03,24.43,72.18,1
127,2022-03-28,2022-10-20,270,206,11,368681.5380124399,418412.70908857795,5,Medium,IT,3,3.51,13.49,76.73,1
128,2022-01-11,2023-12-05,570,693,13,266750.1445838519,284632.38756147394,1,Low,Marketing,1,4.41,6.7,100.0,1
129,2021-03-25,2021-07-07,90,104,12,220094.4155550145,176075.53244401162,1,Medium,IT,9,4.47,-20.0,100.0,1
130,2020-10-10,2021-12-01,720,417,16,367287.96393349697,390002.3311182084,3,Low,HR,4,4.28,6.18,100.0,1
131,2022-11-09,2023-05-11,210,183,6,161925.86949362958,183302.9913044311,4,High,Marketing,2,4.91,13.2,76.13,1
132,2022-10-07,2023-11-09,330,398,5,198613.63805859434,243163.95123783042,2,Low,Marketing,8,3.87,22.43,71.16,1
133,2020-07-05,2021-07-21,600,381,20,245503.3300197221,327536.4190725599,2,High,IT,3,5.0,33.41,78.37,1
134,2020-04-06,2022-07-05,690,820,27,164156.97824291245,230682.39889946458,5,Medium,HR,5,4.57,40.53,40.41,0
135,2020-08-12,2020-12-07,120,117,27,232340.9390516377,299008.871678389,5,High,Operations,1,2.23,28.69,42.71,0
136,2020-11-09,2022-03-18,390,494,28,307162.8613422548,311981.156578495,2,Medium,HR,5,5.0,1.57,85.58,1
137,2023-07-09,2024-03-05,240,240,9,383438.23740980076,404251.02972478373,5,Medium,Finance,2,3.46,5.43,74.97,1
138,2020-11-23,2021-08-07,300,257,7,395237.68389885727,478568.5381945938,3,Medium,R&D,8,3.28,21.08,68.25,1
139,2023-10-25,2024-05-03,180,191,16,420255.65834451193,495036.86171526305,2,Medium,Operations,10,4.37,17.79,70.15,1
140,2022-05-14,2024-01-01,600,597,12,384895.2456244841,517396.16288716864,5,Medium,Marketing,1,2.78,34.43,50.08,0
141,2023-05-06,2024-03-28,390,327,26,356467.74219360907,524687.868628907,2,Medium,Operations,8,3.51,47.19,54.27,0
142,2020-05-10,2021-03-09,210,303,7,156877.91208161146,225916.27758774106,4,Medium,Marketing,4,5.0,44.01,36.08,0
143,2022-02-27,2023-04-14,510,411,5,230100.30179241116,304673.67656657385,1,Low,Marketing,7,4.39,32.41,88.28,1
144,2022-02-20,2023-01-17,600,331,7,264971.70089610247,312450.76040540636,2,Low,Operations,1,4.57,17.92,100.0,1
145,2023-05-05,2023-10-09,120,157,9,87301.0947620094,113700.83751595874,1,Medium,Marketing,5,3.54,30.24,58.68,0
146,2022-08-16,2024-05-13,720,636,19,287766.55458374415,388259.2834668301,5,Medium,Marketing,2,2.92,34.92,53.35,0
147,2022-12-19,2023-12-21,390,367,18,246351.1242229502,265543.0938759061,1,Medium,Finance,9,4.49,7.79,90.1,1
148,2021-05-29,2022-07-21,450,418,7,410949.16206203034,419209.59122089023,2,Medium,HR,4,4.65,2.01,98.49,1
149,2023-02-07,2023-07-17,180,160,5,490055.30093942187,482649.0216627606,4,High,HR,7,4.62,-1.51,78.25,1
150,2020-01-24,2021-09-25,720,610,9,300202.267389163,290758.5915152503,5,Low,R&D,9,4.15,-3.15,90.86,1
151,2023-10-25,2024-05-29,270,217,30,195208.87472491266,174263.09942762752,2,Low,R&D,0,3.32,-10.73,100.0,1
152,2020-08-22,2021-09-21,390,395,27,69530.35248417774,79089.75082079862,5,Low,Finance,4,5.0,13.75,82.49,1
153,2023-10-28,2025-08-21,720,663,18,466089.4986006182,442802.3061931204,3,Medium,R&D,2,4.34,-5.0,100.0,1
154,2023-01-04,2023-07-29,180,206,11,463602.07187539677,455475.90287411155,1,High,Operations,3,3.88,-1.75,85.52,1
155,2021-06-30,2023-01-10,510,559,13,163845.5755951585,197464.7762645667,3,Low,IT,1,3.88,20.52,82.65,1
156,2023-08-05,2023-10-18,90,74,19,362935.0053979914,409115.3490539468,2,Medium,IT,8,4.1,12.72,85.46,1
157,2021-11-27,2022-04-29,150,153,19,83945.54619039617,97749.86585421234,4,Medium,IT,2,4.75,16.44,76.79,1
158,2020-08-16,2021-10-30,480,440,30,124796.94435916381,162831.5979070543,5,Medium,Finance,1,4.13,30.48,63.12,1
159,2021-08-24,2022-03-05,240,193,14,147564.09796392103,181456.54417781119,1,Medium,Finance,9,4.6,22.97,83.96,1
160,2022-06-09,2024-04-21,600,682,17,182522.27607774345,242359.0990781202,5,Low,Marketing,10,4.11,32.78,48.84,0
161,2020-11-19,2021-02-15,90,88,23,498124.11876321683,553912.2637870031,2,Medium,IT,8,3.92,11.2,79.54,1
162,2022-07-18,2023-02-24,240,221,11,363616.2751387167,487888.89632008475,5,Medium,Operations,6,4.45,34.18,54.07,0
163,2020-01-07,2020-07-24,240,199,21,222890.82412064896,257207.21011383334,1,Low,R&D,5,4.42,15.4,100.0,1
164,2021-06-23,2022-12-24,690,549,24,381695.3176293587,429524.00787951384,2,Medium,Operations,0,3.88,12.53,97.56,1
165,2022-10-22,2024-11-14,540,754,8,461864.45375109784,609304.9495619293,5,Low,R&D,4,3.48,31.92,44.99,0
166,2020-12-31,2021-08-12,210,224,9,481416.08333353075,466577.37042155914,4,Medium,IT,10,4.24,-3.08,76.0,1
167,2022-11-05,2024-01-25,570,446,27,76038.75399096833,106723.43924976708,2,Medium,IT,10,4.05,40.35,61.69,1
168,2020-08-05,2021-08-20,360,380,11,227534.80937365844,240660.1541685009,2,Medium,IT,2,3.61,5.77,88.22,1
169,2023-07-04,2025-10-17,690,836,17,98040.22967114797,89930.71484402001,4,Medium,Finance,0,3.41,-8.27,85.21,1
170,2021-09-03,2023-05-16,600,620,19,201047.02915863344,240859.42597602657,3,Low,R&D,3,4.29,19.8,84.76,1
171,2023-08-01,2024-07-10,270,344,15,126355.95675300449,131840.02936613275,1,Medium,Finance,1,4.39,4.34,90.99,1
172,2022-11-05,2023-02-17,150,104,8,341081.7627509257,478834.8171113807,3,Low,Finance,1,3.75,40.39,82.2,1
173,2023-06-01,2024-02-27,450,271,17,224720.7727954425,232600.57909381003,5,Low,HR,2,3.59,3.51,100.0,1
174,2021-02-11,2022-08-01,510,536,11,153227.63556722735,175777.73874082742,4,High,Operations,7,3.42,14.72,52.78,0
175,2020-11-09,2022-10-06,660,696,23,169672.06623390754,150356.7683403358,3,Low,Operations,7,4.27,-11.38,100.0,1
176,2022-02-04,2022-12-16,630,315,26,212155.29284237072,259240.43107890143,2,Medium,Marketing,6,3.44,22.19,90.43,1
177,2020-11-26,2021-04-07,150,132,6,166977.4382844182,164204.1916006626,5,Medium,Finance,5,5.0,-1.66,88.63,1
178,2023-01-09,2023-06-02,180,144,14,253958.38107297398,305765.56156748964,5,Low,R&D,8,3.71,20.4,73.24,1
179,2022-12-22,2023-05-23,210,152,17,64542.17799934271,66849.44559333696,3,Low,HR,3,2.3,3.57,100.0,1
180,2020-01-02,2020-03-14,90,72,29,175893.57822602557,140714.86258082045,3,Low,HR,0,3.98,-20.0,100.0,1
181,2023-05-11,2023-11-28,180,201,25,235043.0243924838,263172.62417244463,4,High,Operations,7,3.95,11.97,55.0,0
182,2021-10-25,2022-09-25,420,335,10,321251.8469104843,357541.82971210993,1,Medium,Finance,6,4.78,11.3,98.95,1
183,2022-09-27,2023-07-14,360,290,16,171930.93913180847,211846.55250928074,3,Low,Marketing,6,4.2,23.22,86.21,1
184,2020-02-09,2021-05-21,690,467,16,109933.30635068737,146585.0801176327,3,Medium,Finance,2,3.42,33.34,75.34,1
185,2020-08-17,2022-11-22,660,827,24,84290.17081962342,116898.78527742709,2,Medium,IT,3,3.8,38.69,53.43,0
186,2022-01-13,2023-05-17,450,489,15,473239.32221092255,581906.017572316,5,Low,Finance,9,4.23,22.96,60.81,1
187,2021-09-21,2022-05-20,480,241,30,237487.57598231564,271161.6230624301,1,Medium,IT,8,2.48,14.18,94.0,1
188,2021-05-05,2021-10-21,210,169,27,311523.1795313718,275978.37277584145,2,Medium,IT,5,4.94,-11.41,100.0,1
189,2020-04-28,2020-11-13,180,199,29,463629.4483260018,524041.82149364887,4,High,Marketing,4,3.42,13.03,56.44,0
190,2021-05-08,2023-01-01,480,603,11,87236.78901588777,98773.07145587681,4,Low,R&D,2,4.99,13.22,81.13,1
191,2023-03-07,2024-04-30,360,420,5,444497.6686666067,475703.16568520234,3,Low,Operations,8,4.27,7.02,82.09,1
192,2020-06-10,2021-11-22,570,530,5,298214.5426448315,356350.02067424875,3,Low,Finance,4,4.44,19.49,88.41,1
193,2020-06-24,2021-01-31,360,221,29,124175.41751165043,157489.92577330224,4,Medium,IT,4,4.8,26.83,82.0,1
194,2022-09-22,2023-08-04,270,316,29,235064.80246341607,229714.5889700064,3,Low,Finance,3,4.4,-2.28,97.51,1
195,2020-05-21,2021-10-11,540,508,24,399921.0276808515,389883.94844875636,1,Medium,R&D,3,4.47,-2.51,100.0,1
196,2022-12-26,2023-03-27,90,91,17,266166.53683985956,287221.9596662392,3,Medium,Operations,0,3.88,7.91,87.65,1
197,2020-09-14,2022-03-18,570,550,13,493378.72279947693,497185.44622835994,5,Medium,R&D,6,4.26,0.77,78.09,1
198,2020-09-19,2022-02-04,690,503,7,219532.53647207335,187439.51834323464,3,Medium,Operations,8,3.59,-14.62,100.0,1
199,2023-09-13,2024-09-01,330,354,11,387310.23498923244,368142.673454085,2,High,HR,2,3.76,-4.95,86.85,1
200,2022-08-31,2023-05-08,240,250,10,226845.2520404866,207597.8470653558,1,Medium,Operations,1,5.0,-8.48,100.0,1
201,2023-01-30,2024-08-29,630,577,12,423123.8993179315,542134.9329125311,2,Medium,Marketing,2,3.43,28.13,75.03,1
202,2020-12-04,2022-04-10,450,492,13,306086.6611245865,414877.22214836854,2,Low,R&D,0,4.11,35.54,78.37,1
203,2021-06-26,2021-10-13,150,109,9,78580.3233155006,73526.42836032687,5,High,IT,5,4.08,-6.43,83.98,1
204,2022-12-16,2023-08-29,270,256,5,66569.84043619613,78679.62847521131,1,Low,HR,10,3.78,18.19,86.43,1
205,2023-05-27,2025-05-19,720,723,23,110233.45346028495,135700.40862485056,1,Low,Marketing,10,4.36,23.1,83.15,1
206,2022-05-16,2022-12-18,330,216,14,56152.38417214878,49198.455059869004,1,Low,Finance,6,4.41,-12.38,100.0,1
207,2021-03-09,2023-02-19,720,712,16,83911.57715860804,94328.93447653715,1,Medium,R&D,10,3.35,12.41,77.27,1
208,2023-01-09,2023-09-06,210,240,28,361271.4787260104,534691.6963132601,1,Low,IT,10,4.07,48.0,56.24,0
209,2023-11-13,2024-10-17,360,339,19,290455.8237632584,349003.5937710764,5,Low,Operations,1,3.24,20.16,75.92,1
210,2021-02-15,2022-09-05,570,567,26,387459.8372614873,411949.2048139075,3,Low,IT,7,4.55,6.32,92.41,1
211,2023-12-31,2025-04-11,420,467,28,460924.5885159393,468286.48582327674,2,Low,Finance,5,4.12,1.6,97.36,1
212,2021-09-30,2023-02-11,540,499,13,313317.28954646236,250653.8316371699,1,Medium,HR,3,4.06,-20.0,100.0,1
213,2022-03-28,2022-08-17,150,142,24,376754.3798323316,441017.76939622115,3,Medium,HR,4,4.46,17.06,79.79,1
214,2023-10-07,2025-04-10,720,551,21,390686.5409191052,543903.0654544986,3,Low,R&D,7,3.81,39.22,71.55,1
215,2023-08-23,2024-07-18,330,330,21,220032.7471741039,215185.08180753794,2,Medium,HR,2,4.64,-2.2,100.0,1
216,2022-02-03,2023-05-25,510,476,30,158488.17454833433,128321.8996221105,5,Medium,R&D,2,3.34,-19.03,96.57,1
217,2022-06-16,2023-02-01,210,230,24,142270.39782793622,142322.5218315211,4,Low,R&D,10,4.99,0.04,86.1,1
218,2022-11-25,2024-04-08,450,500,16,163149.0977803093,201038.8380322944,4,Low,R&D,3,3.61,23.22,70.55,1
